Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product-details/[id],300,300,30002.824791998137,30010.8824218133,30002.824791998137,30030.042499995034,30.0,2.934663035974339,2.934663035974339,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,300,300,30002.824791998137,30010.8824218133,30002.824791998137,30030.042499995034,30.0,2.934663035974339,2.934663035974339,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
