Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760934586,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1760934587,10,,Aggregated,0.000000,0.000000,9,9,9,9,12,12,12,12,12,12,12,10,10,9,8.858987502026139,7.7761660068063065,11.729541998647619,30.0
1760934588,20,,Aggregated,0.000000,0.000000,9,11,12,12,14,15,15,15,15,15,15,28,28,9,9.138098214732183,4.753417000756599,15.015583005151711,30.0
1760934589,30,,Aggregated,10.000000,10.000000,8,9,12,13,21,23,23,23,23,23,23,53,53,8,9.53674294317541,4.211749997921288,23.089374997653067,30.0
1760934590,40,,Aggregated,10.000000,10.000000,8,9,13,15,16,21,23,23,23,23,23,84,84,8,9.158834345119734,2.579209001851268,23.089374997653067,30.0
1760934591,50,,Aggregated,13.333333,13.333333,6,9,13,15,19,23,23,23,25,25,25,124,124,6,9.222519507837264,2.579209001851268,24.556959004257806,30.0
1760934592,60,,Aggregated,16.750000,16.750000,6,9,13,15,19,21,23,23,25,25,25,169,169,6,8.651040692227484,2.2089580015745014,24.556959004257806,30.0
1760934593,70,,Aggregated,18.800000,18.800000,5,8,12,14,17,21,23,23,25,25,25,223,223,5,8.198417618607365,2.2089580015745014,24.556959004257806,30.0
1760934594,80,,Aggregated,22.666667,22.666667,5,7,9,13,16,19,23,23,25,25,25,282,282,5,7.704056623911548,2.1832499987795018,24.556959004257806,30.0
1760934595,90,,Aggregated,26.142857,26.142857,5,7,9,13,17,21,25,26,27,27,27,347,347,5,7.775726365832168,1.863833997049369,27.330290999088902,30.0
1760934596,100,,Aggregated,29.125000,29.125000,5,6,9,13,17,21,23,26,27,27,27,415,415,5,7.544845498604587,1.3451670020003803,27.330290999088902,30.0
1760934597,100,,Aggregated,32.666667,32.666667,5,6,8,10,16,19,23,26,27,27,27,484,484,5,7.076554344918301,1.3451670020003803,27.330290999088902,30.0
1760934598,100,,Aggregated,35.700000,35.700000,5,6,7,9,15,19,23,25,27,27,27,542,542,5,6.84979714007964,1.3451670020003803,27.330290999088902,30.0
1760934599,100,,Aggregated,40.900000,40.900000,5,6,7,8,15,19,23,25,27,27,27,618,618,5,6.548135252283757,1.3451670020003803,27.330290999088902,30.0
1760934600,100,,Aggregated,46.800000,46.800000,5,5,6,8,15,19,23,25,27,27,27,675,675,5,6.385923836917048,1.3451670020003803,27.330290999088902,30.0
1760934601,100,,Aggregated,50.600000,50.600000,5,5,6,7,14,18,22,23,27,27,27,750,750,5,6.182260615916069,1.3451670020003803,27.330290999088902,30.0
1760934602,100,,Aggregated,55.700000,55.700000,5,5,6,7,13,17,21,23,27,27,27,813,813,5,6.059730172098292,1.3451670020003803,27.330290999088902,30.0
1760934603,100,,Aggregated,58.500000,58.500000,5,5,6,7,13,17,21,23,27,27,27,877,877,5,5.958080018165403,1.3451670020003803,27.330290999088902,30.0
1760934604,100,,Aggregated,61.500000,61.500000,5,5,6,7,11,17,21,23,27,27,27,947,947,5,5.87826932940193,1.3451670020003803,27.330290999088902,30.0
1760934605,100,,Aggregated,63.400000,63.400000,5,5,6,7,10,16,21,23,27,27,27,1017,1017,5,5.780679130748557,1.3451670020003803,27.330290999088902,30.0
1760934606,100,,Aggregated,64.900000,64.900000,5,5,6,6,10,16,21,23,27,27,27,1088,1088,5,5.724722858424095,1.2059169966960326,27.330290999088902,30.0
1760934607,100,,Aggregated,65.500000,65.500000,5,5,6,6,9,15,20,23,27,27,27,1151,1151,5,5.6596152023787525,1.2059169966960326,27.330290999088902,30.0
1760934608,100,,Aggregated,66.300000,66.300000,5,5,6,6,9,15,20,23,27,27,27,1218,1218,5,5.651767972012032,1.2059169966960326,27.330290999088902,30.0
1760934609,100,,Aggregated,67.200000,67.200000,5,5,6,6,9,15,20,23,27,27,27,1279,1279,5,5.672993626211791,1.2059169966960326,27.330290999088902,30.0
1760934610,100,,Aggregated,66.500000,66.500000,5,5,6,6,9,15,19,23,27,27,27,1351,1351,5,5.603885495878217,1.2059169966960326,27.330290999088902,30.0
1760934611,100,,Aggregated,67.500000,67.500000,5,5,6,6,9,15,19,22,27,27,27,1414,1414,5,5.567580844359465,1.2059169966960326,27.330290999088902,30.0
1760934612,100,,Aggregated,66.100000,66.100000,5,5,6,6,9,14,19,22,27,27,27,1486,1486,5,5.530379252291629,1.2059169966960326,27.330290999088902,30.0
1760934613,100,,Aggregated,67.300000,67.300000,5,5,6,6,9,14,19,22,27,27,27,1547,1547,5,5.492036890039444,1.2059169966960326,27.330290999088902,30.0
1760934614,100,,Aggregated,66.500000,66.500000,4,5,6,6,8,14,19,21,27,27,27,1613,1613,4,5.431621012927496,1.2059169966960326,27.330290999088902,30.0
1760934615,100,,Aggregated,66.900000,66.900000,4,5,6,6,8,14,19,21,27,27,27,1677,1677,4,5.383620568779928,1.2059169966960326,27.330290999088902,30.0
1760934616,100,,Aggregated,66.700000,66.700000,4,5,6,6,8,14,19,21,27,27,27,1745,1745,4,5.328831963834351,1.2059169966960326,27.330290999088902,30.0
1760934617,100,,Aggregated,66.600000,66.600000,4,5,6,6,8,13,19,21,27,27,27,1818,1818,4,5.328509822817514,1.2059169966960326,27.330290999088902,30.0
1760934618,100,,Aggregated,66.100000,66.100000,4,5,6,6,8,13,18,21,27,27,27,1883,1883,4,5.309394548540118,1.2059169966960326,27.330290999088902,30.0
1760934619,100,,Aggregated,65.400000,65.400000,4,5,6,6,8,13,18,21,27,27,27,1943,1943,4,5.292708259843994,1.2059169966960326,27.330290999088902,30.0
1760934620,100,,Aggregated,66.600000,66.600000,4,5,6,6,8,13,18,21,26,27,27,2013,2013,4,5.256345389402526,1.2059169966960326,27.330290999088902,30.0
1760934621,100,,Aggregated,66.300000,66.300000,4,5,6,6,8,12,18,21,26,27,27,2084,2084,4,5.235516005203498,1.2059169966960326,27.330290999088902,30.0
1760934622,100,,Aggregated,65.800000,65.800000,4,5,6,6,8,13,17,21,26,27,27,2149,2149,4,5.238636391753474,1.2059169966960326,27.330290999088902,30.0
1760934623,100,,Aggregated,66.200000,66.200000,4,5,5,6,8,12,17,21,26,27,27,2213,2213,4,5.221157525014674,1.2059169966960326,27.330290999088902,30.0
1760934624,100,,Aggregated,66.800000,66.800000,4,5,6,6,8,12,17,21,26,27,27,2274,2274,4,5.222327387372986,1.2059169966960326,27.330290999088902,30.0
1760934625,100,,Aggregated,66.400000,66.400000,4,5,5,6,8,12,17,21,26,27,27,2347,2347,4,5.191552627986058,1.2059169966960326,27.330290999088902,30.0
1760934626,100,,Aggregated,66.400000,66.400000,4,5,5,6,8,12,17,20,26,27,27,2406,2406,4,5.163970754318745,1.2059169966960326,27.330290999088902,30.0
1760934627,100,,Aggregated,65.900000,65.900000,4,5,5,6,8,12,17,20,26,27,27,2477,2477,4,5.155418572012254,1.2059169966960326,27.330290999088902,30.0
1760934629,100,,Aggregated,66.600000,66.600000,4,5,5,6,8,12,17,20,27,36,36,2541,2541,4,5.159165966106316,1.2059169966960326,36.0766669982695,30.0
1760934630,100,,Aggregated,66.100000,66.100000,4,5,5,6,8,11,17,20,27,36,36,2607,2607,4,5.136300684642117,1.2059169966960326,36.0766669982695,30.0
1760934631,100,,Aggregated,65.700000,65.700000,4,5,5,6,8,11,16,20,27,36,36,2677,2677,4,5.128497592030813,1.2059169966960326,36.0766669982695,30.0
1760934632,100,,Aggregated,65.700000,65.700000,4,5,5,6,8,11,16,20,27,36,36,2742,2742,4,5.123714356615731,1.2059169966960326,36.0766669982695,30.0
1760934633,100,,Aggregated,66.200000,66.200000,4,5,5,6,8,11,16,19,27,36,36,2815,2815,4,5.107692694430013,1.2059169966960326,36.0766669982695,30.0
1760934634,100,,Aggregated,65.800000,65.800000,4,5,5,6,8,11,16,19,27,36,36,2873,2873,4,5.111340214009157,1.2059169966960326,36.0766669982695,30.0
1760934635,100,,Aggregated,65.800000,65.800000,4,5,5,6,8,11,16,19,27,36,36,2938,2938,4,5.103193646977758,1.2059169966960326,36.0766669982695,30.0
1760934636,100,,Aggregated,65.900000,65.900000,4,5,5,6,8,11,16,19,26,36,36,3007,3007,4,5.10783619548481,1.2059169966960326,36.0766669982695,30.0
1760934637,100,,Aggregated,66.400000,66.400000,4,5,5,6,8,11,16,19,26,36,36,3074,3074,4,5.102307440083784,0.7616250004502945,36.0766669982695,30.0
1760934638,100,,Aggregated,65.800000,65.800000,4,5,5,6,8,11,16,19,26,36,36,3139,3139,4,5.10182397223174,0.7616250004502945,36.0766669982695,30.0
1760934639,100,,Aggregated,66.700000,66.700000,4,5,5,6,8,11,16,19,26,36,36,3206,3206,4,5.1082600975786505,0.7616250004502945,36.0766669982695,30.0
1760934640,100,,Aggregated,65.900000,65.900000,4,5,5,6,8,11,16,19,26,36,36,3271,3271,4,5.106845003313676,0.7616250004502945,36.0766669982695,30.0
1760934641,100,,Aggregated,66.200000,66.200000,4,5,5,6,8,11,16,19,26,36,36,3332,3332,4,5.106842788680434,0.7616250004502945,36.0766669982695,30.0
1760934642,100,,Aggregated,66.300000,66.300000,4,5,5,6,8,11,15,19,26,36,36,3402,3402,4,5.097743082267715,0.7616250004502945,36.0766669982695,30.0
1760934643,100,,Aggregated,66.300000,66.300000,4,5,5,6,8,11,15,19,26,36,36,3470,3470,4,5.090737033392399,0.7616250004502945,36.0766669982695,30.0
1760934644,100,,Aggregated,65.500000,65.500000,4,5,5,6,8,11,15,19,26,36,36,3537,3537,4,5.085030101457619,0.7616250004502945,36.0766669982695,30.0
1760934645,100,,Aggregated,65.500000,65.500000,4,5,5,6,8,11,15,19,26,36,36,3600,3600,4,5.077511321914143,0.7616250004502945,36.0766669982695,30.0
1760934646,100,,Aggregated,66.400000,66.400000,4,5,5,6,8,10,15,19,26,36,36,3664,3664,4,5.055160666449518,0.7616250004502945,36.0766669982695,30.0
1760934647,100,,Aggregated,66.200000,66.200000,4,5,5,6,8,10,15,19,26,36,36,3740,3740,4,5.038415590341777,0.7616250004502945,36.0766669982695,30.0
1760934648,100,,Aggregated,65.700000,65.700000,4,5,5,6,8,10,15,19,26,36,36,3800,3800,4,5.047340047600109,0.7616250004502945,36.0766669982695,30.0
1760934649,100,,Aggregated,66.400000,66.400000,4,5,5,6,8,10,15,18,26,36,36,3869,3869,4,5.0448920620111375,0.7616250004502945,36.0766669982695,30.0
1760934650,100,,Aggregated,66.100000,66.100000,4,5,5,6,8,10,15,19,35,37,37,3932,3932,4,5.068070589247825,0.7616250004502945,36.71333300007973,30.0
1760934651,100,,Aggregated,66.500000,66.500000,4,5,5,6,8,11,15,19,27,37,37,4001,4001,4,5.0653948215218545,0.7616250004502945,36.71333300007973,30.0
1760934652,100,,Aggregated,65.700000,65.700000,4,5,5,6,8,10,15,19,27,37,37,4071,4071,4,5.060239308752337,0.7616250004502945,36.71333300007973,30.0
1760934653,100,,Aggregated,66.700000,66.700000,4,5,5,6,7,10,15,18,27,37,37,4130,4130,4,5.054975095380196,0.7616250004502945,36.71333300007973,30.0
1760934654,100,,Aggregated,66.900000,66.900000,4,5,5,6,7,10,15,18,27,37,37,4199,4199,4,5.055734484382621,0.7616250004502945,36.71333300007973,30.0
1760934655,100,,Aggregated,65.500000,65.500000,4,5,5,6,7,10,15,18,27,37,37,4273,4273,4,5.056131185337524,0.7616250004502945,36.71333300007973,30.0
1760934656,100,,Aggregated,66.000000,66.000000,4,5,5,6,7,10,15,18,27,37,37,4332,4332,4,5.048962097396806,0.7616250004502945,36.71333300007973,30.0
1760934657,100,,Aggregated,66.600000,66.600000,4,5,5,6,7,10,15,18,27,37,37,4397,4397,4,5.031021087995774,0.7616250004502945,36.71333300007973,30.0
1760934658,100,,Aggregated,66.500000,66.500000,4,5,5,6,7,10,15,18,27,37,37,4469,4469,4,5.018064978956162,0.7616250004502945,36.71333300007973,30.0
1760934659,100,,Aggregated,65.500000,65.500000,4,5,5,6,7,10,15,18,27,37,37,4527,4527,4,5.019507717250163,0.7616250004502945,36.71333300007973,30.0
