Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product-details/[id],6601,0,4,253.442354130248,0.7833330018911511,2044.323499998427,167.34358430540829,55.34067625370811,0.0,4,5,6,8,2000,2000,2000,2000,2000,2000,2000
,Aggregated,6601,0,4,253.442354130248,0.7833330018911511,2044.323499998427,167.34358430540829,55.34067625370811,0.0,4,5,6,8,2000,2000,2000,2000,2000,2000,2000
